test_organism	conc_unit	cells_ml	yield	growthrate_d	conc	exposure_duration	exposure_duration_unit
Raphidocelis subcapitata	ug/L	962698.91074491	824948.136935816	1.81851408244925	10	24	hours
Raphidocelis subcapitata	ug/L	981376.981769871	874756.326335714	2.0760836260048	1	24	hours
Raphidocelis subcapitata	ug/L	978263.969932378	818722.113260829	1.69615578748418	0.1	24	hours
Raphidocelis subcapitata	ug/L	445938.945720965	289510.100886909	0.979810577074666	10000	24	hours
Raphidocelis subcapitata	ug/L	1171270.70385698	1077102.0957728	2.35768445666678	1000	24	hours
Raphidocelis subcapitata	ug/L	1021846.13565729	905886.444710651	2.03534550430928	100	24	hours
Raphidocelis subcapitata	ug/L	819500.366220202	697314.651598576	1.78003370860702	10	24	hours
Raphidocelis subcapitata	ug/L	875534.579295088	762687.900185943	1.91626304494274	1	24	hours
Raphidocelis subcapitata	ug/L	906664.697670024	747122.840998475	1.6250659892702	0.1	24	hours
Raphidocelis subcapitata	ug/L	545555.324520761	345544.313961795	0.938517663731289	10000	24	hours
Raphidocelis subcapitata	ug/L	766579.16498281	653732.485873666	1.79196374006377	1000	24	hours
Raphidocelis subcapitata	ug/L	897325.662157543	753348.864673462	1.71139519425478	100	24	hours
Raphidocelis subcapitata	ug/L	828839.401732683	691088.627923589	1.67848512446114	10	24	hours
Raphidocelis subcapitata	ug/L	1009394.08830731	880982.350010702	1.92847735970307	1	24	hours
Raphidocelis subcapitata	ug/L	944020.839719948	803157.05407336	1.77928749276217	0.1	24	hours
Raphidocelis subcapitata	ug/L	452164.969395952	280171.065374428	0.904057417303967	10000	24	hours
Raphidocelis subcapitata	ug/L	934681.804207467	824948.136935816	2.00356969449897	1000	24	hours
Raphidocelis subcapitata	ug/L	912890.721345011	756461.876510956	1.64989706057153	100	24	hours
Raphidocelis subcapitata	""	411695.815508535	295736.124561896	1.27822660873931	0	24	hours
Raphidocelis subcapitata	""	374339.673458611	295736.124561896	1.57452383683682	0	24	hours
Raphidocelis subcapitata	""	349435.578758662	255266.970674479	1.32280690254276	0	24	hours
Raphidocelis subcapitata	""	480182.075933395	283284.077211922	0.899348837506046	0	24	hours
Raphidocelis subcapitata	""	352548.590596155	286397.089049415	1.68801096493591	0	24	hours
Raphidocelis subcapitata	""	349435.578758662	273945.041699441	1.54583799166595	0	24	hours
Raphidocelis subcapitata	""	336983.531408687	242814.923324504	1.28620144504994	0	24	hours
Raphidocelis subcapitata	""	380565.697133598	283284.077211922	1.37608953560915	0	24	hours
Raphidocelis subcapitata	""	365000.63794613	264606.00618696	1.30218447826947	0	24	hours
Raphidocelis subcapitata	""	489521.111445876	308188.171911871	1.00185906999722	0	24	hours
Raphidocelis subcapitata	""	346322.566921168	280171.065374428	1.67003583926953	0	24	hours
Raphidocelis subcapitata	""	386791.720808585	326866.242936833	1.88124550238885	0	24	hours
Raphidocelis subcapitata	""	1575962.24273116	1503584.71750943	3.10791978450177	0	24	hours
Raphidocelis subcapitata	""	1485684.89944384	1388403.27952217	2.75008432426073	0	24	hours
Raphidocelis subcapitata	""	1031185.17116977	946355.598598068	2.51986870738076	0	24	hours
Raphidocelis subcapitata	""	1270887.08265678	1195396.54559756	2.84838649630979	0	24	hours
Raphidocelis subcapitata	""	1488797.91128134	1410194.36238462	2.96727107450088	0	24	hours
Raphidocelis subcapitata	""	526877.253495799	407804.550711667	1.50036151477411	0	24	hours
Raphidocelis subcapitata	""	573572.431058204	485629.846649008	1.8917529114522	0	24	hours
Raphidocelis subcapitata	""	760353.141307823	678636.580573615	2.25021568916546	0	24	hours
Raphidocelis subcapitata	""	891099.638482556	809383.077748348	2.41028959982933	0	24	hours
Raphidocelis subcapitata	""	688753.869045469	582133.213611312	1.88207487433019	0	24	hours
Raphidocelis subcapitata	""	1158818.65650701	1049084.98923536	2.37790682704246	0	24	hours
Raphidocelis subcapitata	""	1012507.10014481	884095.361848195	2.08317074866272	0	24	hours
Raphidocelis subcapitata	""	803935.307032734	715992.722623538	2.23236786926335	0	24	hours
Raphidocelis subcapitata	""	1084106.37240716	986824.752485485	2.43218283629509	0	24	hours
Raphidocelis subcapitata	""	990716.017282352	905886.444710651	2.47947915896924	0	24	hours
Raphidocelis subcapitata	""	1084106.37240716	989937.764322979	2.46499311796526	0	24	hours
Raphidocelis subcapitata	""	1006281.07646982	918338.492060625	2.45884747546988	0	24	hours
Raphidocelis subcapitata	""	1793873.07135571	1640557.23835915	2.48134398657529	0	24	hours
Raphidocelis subcapitata	""	1068541.31321969	983711.740647992	2.55576849789541	0	24	hours
Raphidocelis subcapitata	""	1165044.680182	1073989.08393531	2.5715454725063	0	24	hours
Raphidocelis subcapitata	""	1230417.92876936	1133136.30884769	2.559898209238	0	24	hours
Raphidocelis subcapitata	""	1270887.08265678	1186057.51008508	2.73072001083614	0	24	hours
Raphidocelis subcapitata	""	1401633.57983151	1288786.90072237	2.54160262573053	0	24	hours
Raphidocelis subcapitata	""	427260.874696003	329979.254774327	1.4928471164764	0	24	hours
Raphidocelis subcapitata	""	371226.661621117	286397.089049415	1.48919910079112	0	24	hours
Raphidocelis subcapitata	""	461504.004908433	345544.313961794	1.39344069917	0	24	hours
Raphidocelis subcapitata	""	358774.614271143	286397.089049415	1.61492918016988	0	24	hours
Raphidocelis subcapitata	""	498860.146958357	311301.183749365	0.986867615061806	0	24	hours
Raphidocelis subcapitata	""	414808.827346028	314414.195586858	1.43123230245062	0	24	hours
Raphidocelis subcapitata	""	536216.28900828	466951.775624047	2.0646707705236	0	24	hours
Raphidocelis subcapitata	""	520651.229820812	435821.65724911	1.83045263848584	0	24	hours
Raphidocelis subcapitata	""	486408.099608382	423369.609899136	2.06133921317928	0	24	hours
Raphidocelis subcapitata	""	573572.431058204	494968.882161489	2.00501122355418	0	24	hours
Raphidocelis subcapitata	""	645171.703320558	526099.000536426	1.70469834425509	0	24	hours
Raphidocelis subcapitata	""	551781.348195749	451386.716436578	1.71908511694371	0	24	hours
Raphidocelis subcapitata	""	374339.673458611	305075.160074377	1.70212448965813	0	24	hours
Raphidocelis subcapitata	""	405469.791833547	326866.242936833	1.65511175274866	0	24	hours
Raphidocelis subcapitata	""	365000.63794613	252153.958836985	1.18423104769302	0	24	hours
Raphidocelis subcapitata	""	280949.318333801	217910.828624555	1.50762048288569	0	24	hours
Raphidocelis subcapitata	""	324531.484058712	242814.923324504	1.39129974440482	0	24	hours
Raphidocelis subcapitata	""	495747.135120863	404691.538874174	1.70955432108389	0	24	hours
Raphidocelis subcapitata	""	1015620.1119823	871643.31449822	1.82721979237269	0	24	hours
Raphidocelis subcapitata	""	993829.029119846	759574.888348449	1.35166820696835	0	24	hours
Raphidocelis subcapitata	""	1040524.20668225	924564.515735613	2.05228739313155	0	24	hours
Raphidocelis subcapitata	""	1077880.34873217	871643.31449822	1.54674256520831	0	24	hours
Raphidocelis subcapitata	""	900438.673995037	759574.888348449	1.73507906088341	0	24	hours
Raphidocelis subcapitata	""	875534.579295088	725331.758136019	1.64880572944689	0	24	hours
Raphidocelis subcapitata	""	875534.579295088	768913.923860931	1.96934440106974	0	24	hours
Raphidocelis subcapitata	""	934681.804207467	821835.125098322	1.97740553046866	0	24	hours
Raphidocelis subcapitata	""	916003.733182505	787591.994885892	1.83767292286176	0	24	hours
